Date,Close/Last,Open,High,Low
05/31/2024,18536.65,18550.80,18574.56,18189.78
05/30/2024,18538.66,18683.25,18705.26,18487.76
05/29/2024,18736.75,18708.07,18814.82,18706.62
05/28/2024,18869.44,18855.15,18875.20,18755.94
05/24/2024,18808.35,18669.36,18851.99,18664.79
05/23/2024,18623.39,18907.14,18907.54,18554.89
05/22/2024,18705.20,18733.54,18756.69,18606.16
05/21/2024,18713.80,18603.99,18721.18,18589.91
05/20/2024,18674.19,18559.22,18703.83,18549.84
05/17/2024,18546.23,18571.82,18590.37,18462.25
05/16/2024,18557.96,18589.98,18669.50,18553.30
05/15/2024,18596.65,18412.81,18607.53,18359.32
05/14/2024,18322.77,18187.51,18339.58,18175.30
05/13/2024,18198.61,18228.40,18233.50,18147.57
05/10/2024,18161.18,18171.15,18247.61,18099.73
05/09/2024,18113.46,18095.80,18138.02,18012.62
05/08/2024,18085.01,17987.70,18135.34,17987.70
05/07/2024,18091.45,18106.33,18156.32,18061.61
05/06/2024,18093.57,17950.98,18094.46,17937.28
05/03/2024,17890.80,17848.66,17926.98,17784.78
05/02/2024,17541.54,17474.92,17575.80,17290.64
05/01/2024,17318.55,17382.78,17667.86,17284.37
04/30/2024,17440.69,17720.35,17768.87,17440.69
04/29/2024,17782.72,17801.14,17820.00,17671.03
04/26/2024,17718.30,17566.22,17772.78,17533.08
04/25/2024,17430.50,17205.28,17474.46,17172.42
04/24/2024,17526.80,17613.66,17653.66,17435.33
04/23/2024,17471.47,17297.24,17513.31,17277.25
04/22/2024,17210.89,17161.11,17305.15,17010.25
04/19/2024,17037.65,17334.71,17362.28,16973.94
04/18/2024,17394.31,17514.77,17590.81,17376.49
04/17/2024,17493.62,17785.82,17788.54,17459.57
04/16/2024,17713.66,17691.45,17817.73,17660.89
04/15/2024,17706.83,18143.25,18152.08,17676.35
04/12/2024,18003.49,18117.67,18166.49,17952.09
04/11/2024,18307.98,18085.11,18337.15,17998.25
04/10/2024,18011.65,17957.96,18040.83,17932.42
04/09/2024,18169.90,18188.87,18210.02,17973.07
04/08/2024,18100.19,18130.44,18178.66,18050.69
04/05/2024,18108.46,17940.28,18202.96,17912.86
04/04/2024,17878.78,18331.02,18362.29,17875.75
04/03/2024,18160.19,18054.44,18238.67,18045.42
04/02/2024,18121.78,18076.43,18135.57,18002.27
04/01/2024,18293.20,18280.82,18391.58,18211.28
03/28/2024,18254.69,18263.41,18308.32,18231.38
03/27/2024,18280.84,18338.19,18344.09,18168.20
03/26/2024,18210.54,18329.29,18378.70,18207.88
03/25/2024,18277.06,18215.54,18337.35,18189.28
03/22/2024,18339.44,18293.15,18386.25,18267.49
03/21/2024,18320.38,18438.24,18464.70,18317.10
03/20/2024,18240.11,18067.70,18249.12,18003.24
03/19/2024,18032.20,17902.52,18039.82,17809.15
03/18/2024,17985.01,18024.24,18124.32,17973.09
03/15/2024,17808.25,17926.92,17930.47,17764.99
03/14/2024,18014.81,18114.69,18142.90,17913.63
03/13/2024,18068.47,18151.76,18163.74,18030.40
03/12/2024,18219.11,18063.02,18228.37,17919.33
03/11/2024,17951.69,17959.68,18003.05,17873.33
03/08/2024,18018.45,18312.78,18416.73,17995.38
03/07/2024,18297.99,18161.73,18337.95,18101.43
03/06/2024,18017.57,18083.51,18142.88,17941.64
03/05/2024,17897.87,18088.71,18097.50,17804.50
03/04/2024,18226.48,18290.10,18313.43,18218.25
03/01/2024,18302.91,18069.29,18333.26,18064.44
02/29/2024,18043.85,17991.67,18068.52,17866.26
02/28/2024,17874.50,17895.03,17931.01,17840.36
02/27/2024,17971.05,17962.58,17987.54,17871.06
02/26/2024,17933.33,17970.21,18014.11,17926.66
02/23/2024,17937.61,18052.59,18091.62,17902.78
02/22/2024,18004.70,17857.76,18034.80,17808.26
02/21/2024,17478.91,17412.79,17482.13,17319.44
02/20/2024,17546.10,17591.17,17657.08,17399.41
02/16/2024,17685.98,17853.59,17864.16,17663.40
02/15/2024,17845.72,17815.32,17864.58,17722.31
02/14/2024,17807.63,17728.90,17815.18,17619.92
02/13/2024,17600.42,17519.80,17717.67,17478.23
02/12/2024,17882.66,17942.28,18041.45,17859.66
02/09/2024,17962.41,17820.98,17987.90,17798.81
02/08/2024,17783.17,17757.60,17814.12,17728.55
02/07/2024,17755.07,17674.59,17784.17,17637.73
02/06/2024,17572.73,17664.44,17680.62,17475.43
02/05/2024,17613.04,17634.69,17655.77,17469.62
02/02/2024,17642.73,17415.94,17682.29,17378.37
02/01/2024,17344.71,17216.99,17356.76,17175.83
01/31/2024,17137.24,17269.98,17375.32,17128.74
01/30/2024,17476.71,17596.27,17578.46,17443.77
01/29/2024,17596.27,17438.03,17603.95,17414.62
01/26/2024,17421.01,17432.87,17514.76,17395.54
01/25/2024,17516.99,17589.27,17631.34,17430.37
01/24/2024,17499.30,17562.32,17665.26,17481.97
01/23/2024,17404.21,17346.95,17410.86,17286.02
01/22/2024,17330.38,17403.62,17450.30,17309.87
01/19/2024,17314.00,17060.14,17317.21,17041.85
01/18/2024,16982.29,16894.33,16996.98,16818.13
01/17/2024,16736.28,16705.51,16749.11,16561.49
01/16/2024,16830.71,16775.10,16895.33,16726.59
01/12/2024,16832.92,16855.00,16900.37,16776.92
01/11/2024,16820.90,16852.19,16898.16,16618.86
01/10/2024,16793.05,16702.55,16827.37,16654.74
01/09/2024,16678.70,16531.96,16710.88,16513.73
01/08/2024,16649.87,16354.22,16655.23,16349.39
01/05/2024,16305.98,16281.74,16415.39,16249.19
01/04/2024,16282.01,16290.77,16419.44,16276.43
01/03/2024,16368.49,16413.26,16471.08,16352.14
01/02/2024,16543.94,16667.30,16686.60,16453.15
12/29/2023,16825.93,16902.44,16919.51,16757.89
12/28/2023,16898.47,16963.52,16969.17,16891.32
12/27/2023,16906.80,16896.14,16922.01,16859.55
12/26/2023,16878.46,16816.78,16907.51,16813.57
12/22/2023,16777.40,16799.02,16839.25,16703.57
12/21/2023,16757.41,16719.61,16768.02,16621.52
12/20/2023,16554.16,16763.64,16860.68,16552.06
12/19/2023,16811.85,16734.25,16813.01,16733.38
12/18/2023,16729.80,16631.11,16764.32,16629.29
12/15/2023,16623.45,16587.00,16669.77,16557.01
12/14/2023,16537.83,16603.54,16660.71,16419.26
12/13/2023,16562.37,16392.18,16581.04,16357.21
12/12/2023,16354.25,16209.61,16354.25,16175.46
12/11/2023,16221.73,16069.61,16232.26,16061.87
12/08/2023,16084.69,15952.85,16100.86,15937.58
12/07/2023,16022.49,15888.23,16042.51,15875.48
12/06/2023,15788.05,15990.20,15990.94,15776.95
12/05/2023,15877.71,15763.65,15931.84,15760.59
12/04/2023,15839.67,15837.12,15852.45,15695.58
